round,mode,implementation,state,perf_profile,footprint_bytes,seed
1,prefetch_chain,scalar,warm,branch,262144,24302
1,prefetch_chain,scalar,cache_evicted,basic,6291456,28398
1,prefetch_chain,scalar,warm,branch,49152,24302
1,prefetch_chain,scalar,warm,branch,2097152,24302
1,prefetch_chain,scalar,cache_evicted,branch,536870912,28398
1,prefetch_chain,scalar,warm,branch,131072,24302
1,prefetch_chain,scalar,warm,basic,12582912,24302
1,prefetch_chain,scalar,warm,branch,1048576,24302
1,prefetch_chain,scalar,warm,basic,536870912,24302
1,prefetch_chain,scalar,warm,branch,65536,24302
1,prefetch_chain,scalar,warm,basic,32768,24302
1,prefetch_chain,scalar,warm,branch,28672,24302
1,prefetch_chain,scalar,warm,branch,536870912,24302
1,prefetch_chain,scalar,cache_evicted,basic,8388608,28398
1,prefetch_chain,scalar,warm,branch,7340032,24302
1,prefetch_chain,scalar,warm,basic,24576,24302
1,prefetch_chain,scalar,cache_evicted,branch,1048576,28398
1,prefetch_chain,scalar,warm,basic,98304,24302
1,prefetch_chain,scalar,warm,branch,524288,24302
1,prefetch_chain,scalar,warm,branch,16384,24302
1,prefetch_chain,scalar,warm,basic,262144,24302
1,prefetch_chain,scalar,warm,basic,8388608,24302
1,prefetch_chain,scalar,warm,basic,2097152,24302
1,prefetch_chain,scalar,cache_evicted,basic,262144,28398
1,prefetch_chain,scalar,cache_evicted,basic,33554432,28398
1,prefetch_chain,scalar,warm,basic,131072,24302
1,prefetch_chain,scalar,warm,basic,229376,24302
1,prefetch_chain,scalar,warm,basic,33554432,24302
1,prefetch_chain,scalar,warm,basic,5242880,24302
1,prefetch_chain,scalar,warm,basic,393216,24302
1,prefetch_chain,scalar,warm,basic,524288,24302
1,prefetch_chain,scalar,cache_evicted,branch,33554432,28398
1,prefetch_chain,scalar,warm,branch,229376,24302
1,prefetch_chain,scalar,warm,branch,196608,24302
1,prefetch_chain,scalar,warm,basic,8192,24302
1,prefetch_chain,scalar,warm,branch,36864,24302
1,prefetch_chain,scalar,cache_evicted,branch,262144,28398
1,prefetch_chain,scalar,warm,branch,6291456,24302
1,prefetch_chain,scalar,cache_evicted,basic,32768,28398
1,prefetch_chain,scalar,warm,basic,1048576,24302
1,prefetch_chain,scalar,warm,basic,16384,24302
1,prefetch_chain,scalar,warm,basic,134217728,24302
1,prefetch_chain,scalar,cache_evicted,branch,8388608,28398
1,prefetch_chain,scalar,warm,branch,32768,24302
1,prefetch_chain,scalar,warm,branch,8388608,24302
1,prefetch_chain,scalar,warm,branch,33554432,24302
1,prefetch_chain,scalar,warm,branch,98304,24302
1,prefetch_chain,scalar,warm,branch,5242880,24302
1,prefetch_chain,scalar,warm,branch,24576,24302
1,prefetch_chain,scalar,warm,basic,4194304,24302
1,prefetch_chain,scalar,cache_evicted,branch,32768,28398
1,prefetch_chain,scalar,warm,basic,6291456,24302
1,prefetch_chain,scalar,warm,basic,36864,24302
1,prefetch_chain,scalar,cache_evicted,basic,536870912,28398
1,prefetch_chain,scalar,warm,branch,8192,24302
1,prefetch_chain,scalar,warm,basic,49152,24302
1,prefetch_chain,scalar,warm,basic,196608,24302
1,prefetch_chain,scalar,warm,branch,4194304,24302
1,prefetch_chain,scalar,cache_evicted,basic,1048576,28398
1,prefetch_chain,scalar,warm,basic,7340032,24302
1,prefetch_chain,scalar,warm,branch,12582912,24302
1,prefetch_chain,scalar,warm,basic,65536,24302
1,prefetch_chain,scalar,warm,basic,28672,24302
1,prefetch_chain,scalar,warm,branch,294912,24302
1,prefetch_chain,scalar,warm,branch,134217728,24302
1,prefetch_chain,scalar,cache_evicted,branch,6291456,28398
2,prefetch_chain,scalar,warm,basic,2097152,24303
2,prefetch_chain,scalar,warm,basic,36864,24303
2,prefetch_chain,scalar,warm,branch,32768,24303
2,prefetch_chain,scalar,warm,basic,65536,24303
2,prefetch_chain,scalar,warm,branch,229376,24303
2,prefetch_chain,scalar,warm,basic,262144,24303
2,prefetch_chain,scalar,warm,basic,32768,24303
2,prefetch_chain,scalar,warm,branch,5242880,24303
2,prefetch_chain,scalar,warm,basic,1048576,24303
2,prefetch_chain,scalar,cache_evicted,basic,6291456,28399
2,prefetch_chain,scalar,warm,basic,6291456,24303
2,prefetch_chain,scalar,cache_evicted,basic,1048576,28399
2,prefetch_chain,scalar,warm,basic,49152,24303
2,prefetch_chain,scalar,warm,basic,229376,24303
2,prefetch_chain,scalar,warm,branch,134217728,24303
2,prefetch_chain,scalar,cache_evicted,basic,8388608,28399
2,prefetch_chain,scalar,warm,branch,4194304,24303
2,prefetch_chain,scalar,cache_evicted,branch,8388608,28399
2,prefetch_chain,scalar,warm,basic,196608,24303
2,prefetch_chain,scalar,warm,basic,4194304,24303
2,prefetch_chain,scalar,warm,branch,536870912,24303
2,prefetch_chain,scalar,warm,basic,134217728,24303
2,prefetch_chain,scalar,warm,branch,28672,24303
2,prefetch_chain,scalar,warm,basic,8388608,24303
2,prefetch_chain,scalar,warm,branch,16384,24303
2,prefetch_chain,scalar,warm,branch,8388608,24303
