sample_id,round,variant,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r11-o01-gcc13_lane1-8388608,11,gcc13_lane1,8388608,62,8126464,419590927,17462239205602153,17462239205602153,920971811,73138459,920971832,419622465,419622465,1
r11-o02-gcc13_lane1-6291456,11,gcc13_lane1,6291456,102,10027008,606654294,21549733755203228,21549733755203228,1331560549,90243355,1331560560,606687431,606687431,1
r11-o03-gcc13_lane1-536870912,11,gcc13_lane1,536870912,1,8388608,842080782,18012249170480756,18012249170480756,1848302633,75497755,1848302610,842114269,842114269,1
r11-o04-gcc13_lane8-536870912,11,gcc13_lane8,536870912,3,25165824,316503951,54016160691990295,54016160691990295,694704514,195035455,694704494,316537440,316537440,1
r11-o05-gcc13_lane1-32768,11,gcc13_lane1,32768,195313,100000256,372152516,221271359518073939,221271359518073939,816848062,900002587,816848054,372180029,372180029,1
r11-o06-gcc13_lane8-6291456,11,gcc13_lane8,6291456,1221,120029184,681100469,257963754663396029,257963754663396029,1494963861,930226495,1494963888,681133965,681133965,1
r11-o07-gcc13_lane8-1048576,11,gcc13_lane8,1048576,15259,250003456,691486843,540782577536582989,540782577536582989,1517760313,1937527103,1517760310,691516123,691516123,1
r11-o08-gcc13_lane8-262144,11,gcc13_lane8,262144,85450,350003200,501440915,756379970254730359,756379970254730359,1100625703,2712525119,1100625680,501471137,501471137,1
r11-o09-gcc13_lane1-36864,11,gcc13_lane1,36864,173612,100000512,722262407,221395076082124221,221395076082124221,1585310769,900004891,1585310782,722293674,722293674,1
r11-o10-gcc13_lane1-262144,11,gcc13_lane1,262144,9766,40001536,390692822,86445885965269521,86445885965269521,857541973,360014107,857541982,390722114,390722114,1
r11-o11-gcc13_lane8-8388608,11,gcc13_lane8,8388608,916,120061952,841682634,257992015106286337,257992015106286337,1847428540,930480447,1847428550,841717054,841717054,1
r11-o12-gcc13_lane1-1048576,11,gcc13_lane1,1048576,1221,20004864,418727497,43272497840938563,43272497840938563,919076137,180044059,919076136,418757612,418757612,1
r11-o13-gcc13_lane8-32768,11,gcc13_lane8,32768,683594,350000128,338876053,774447998133594241,774447998133594241,743808844,2712501311,743808846,338904424,338904424,1
r11-o14-gcc13_lane8-36864,11,gcc13_lane8,36864,607639,350000064,409956144,774878977565100034,774878977565100034,899824149,2712500815,899824178,409985154,409985154,1
r12-o01-gcc13_lane8-32768,12,gcc13_lane8,32768,683594,350000128,339673084,774447998133594241,774447998133594241,745558747,2712501311,745558726,339703876,339703876,1
r12-o02-gcc13_lane1-8388608,12,gcc13_lane1,8388608,62,8126464,424474979,17462239205602153,17462239205602153,931691683,73138459,931691706,424507808,424507808,1
r12-o03-gcc13_lane8-536870912,12,gcc13_lane8,536870912,3,25165824,324609701,54016160691990295,54016160691990295,712496470,195035455,712496466,324643335,324643335,1
r12-o04-gcc13_lane8-1048576,12,gcc13_lane8,1048576,15259,250003456,690618547,540782577536582989,540782577536582989,1515854455,1937527103,1515854450,690648517,690648517,1
r12-o05-gcc13_lane1-536870912,12,gcc13_lane1,536870912,1,8388608,830374879,18012249170480756,18012249170480756,1822608651,75497755,1822608656,830408213,830408213,1
r12-o06-gcc13_lane8-36864,12,gcc13_lane8,36864,607639,350000064,409724447,774878977565100034,774878977565100034,899315330,2712500815,899315318,409752385,409752385,1
r12-o07-gcc13_lane8-262144,12,gcc13_lane8,262144,85450,350003200,674142837,756379970254730359,756379970254730359,1479692347,2712525119,1479692368,674174768,674174768,1
r12-o08-gcc13_lane8-6291456,12,gcc13_lane8,6291456,1221,120029184,618000225,257963754663396029,257963754663396029,1356463467,930226495,1356463438,618033285,618033285,1
r12-o09-gcc13_lane1-1048576,12,gcc13_lane1,1048576,1221,20004864,418857146,43272497840938563,43272497840938563,919360378,180044059,919360398,418886843,418886843,1
r12-o10-gcc13_lane1-32768,12,gcc13_lane1,32768,195313,100000256,366165499,221271359518073939,221271359518073939,803707404,900002587,803707410,366195717,366195717,1
r12-o11-gcc13_lane1-36864,12,gcc13_lane1,36864,173612,100000512,722746328,221395076082124221,221395076082124221,1586372283,900004891,1586372304,722773911,722773911,1
r12-o12-gcc13_lane1-262144,12,gcc13_lane1,262144,9766,40001536,556022319,86445885965269521,86445885965269521,1220426904,360014107,1220426922,556051109,556051109,1
