sample_id,round,variant,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r11-o08-gcc13_no_prefetch-262144,11,gcc13_no_prefetch,262144,9766,40001536,416035385,86445885965269521,86445885965269521,913166801,360014107,913166804,416061199,416061199,1
r11-o09-gcc13_prefetch-36864,11,gcc13_prefetch,36864,173612,100000512,875170768,221395076082124221,221395076082124221,1920930684,1200006427,1920930660,875198235,875198235,1
r11-o10-gcc13_prefetch-262144,11,gcc13_prefetch,262144,9766,40001536,411966594,86445885965269521,86445885965269521,904236109,480018715,904236124,411994345,411994345,1
r11-o11-gcc13_no_prefetch-8388608,11,gcc13_no_prefetch,8388608,62,8126464,441605076,17462239205602153,17462239205602153,969290230,73138459,969290256,441636953,441636953,1
r11-o12-gcc13_prefetch-1048576,11,gcc13_prefetch,1048576,1221,20004864,420779321,43272497840938563,43272497840938563,923579515,240058651,923579492,420806352,420806352,1
r11-o13-gcc13_no_prefetch-32768,11,gcc13_no_prefetch,32768,195313,100000256,366670435,221271359518073939,221271359518073939,804814608,900002587,804814604,366697141,366697141,1
r11-o14-gcc13_no_prefetch-36864,11,gcc13_no_prefetch,36864,173612,100000512,722284948,221395076082124221,221395076082124221,1585359275,900004891,1585359292,722311527,722311527,1
r12-o01-gcc13_no_prefetch-32768,12,gcc13_no_prefetch,32768,195313,100000256,374479876,221271359518073939,221271359518073939,821955792,900002587,821955794,374506011,374506011,1
r12-o02-gcc13_prefetch-8388608,12,gcc13_prefetch,8388608,62,8126464,468611899,17462239205602153,17462239205602153,1028567995,97517851,1028568002,468641362,468641362,1
r12-o03-gcc13_no_prefetch-536870912,12,gcc13_no_prefetch,536870912,1,8388608,841196684,18012249170480756,18012249170480756,1846361423,75497755,1846361462,841231753,841231753,1
r12-o04-gcc13_no_prefetch-1048576,12,gcc13_no_prefetch,1048576,1221,20004864,423278535,43272497840938563,43272497840938563,929064795,180044059,929064818,423305648,423305648,1
r12-o05-gcc13_prefetch-536870912,12,gcc13_prefetch,536870912,1,8388608,909971367,18012249170480756,18012249170480756,1997316421,100663579,1997316420,910005607,910005607,1
