mode,state,perf_profile,round,repetition,iterations,target_instructions_per_iteration,dynamic_target_instructions,tsc_ticks,wall_ns,cpu_before,cpu_after,minor_faults,major_faults,checksum,cycles,cycles_enabled,cycles_running,instructions,instructions_enabled,instructions_running,ref_cycles,ref_cycles_enabled,ref_cycles_running,branches,branches_enabled,branches_running,branch_misses,branch_misses_enabled,branch_misses_running,uops_issued_any,uops_issued_any_enabled,uops_issued_any_running,uops_retired_all,uops_retired_all_enabled,uops_retired_all_running,port0_active_cycles,port0_active_cycles_enabled,port0_active_cycles_running,port1_active_cycles,port1_active_cycles_enabled,port1_active_cycles_running,port5_active_cycles,port5_active_cycles_enabled,port5_active_cycles_running
add_latency,warm,basic,2,0,10000000,1,10000000,7094644,3232384,4,4,0,0,30000001,10036024,3250624,3250624,30000674,3249843,3249843,6918164,3248672,3248672,10000272,3247133,3247133,19,3244914,3244914,,,,,,,,,,,,,,,
add_throughput_8,warm,basic,2,0,1000000000,8,8000000000,1650713210,752062244,4,4,0,0,24000000008,2339932398,752085451,752085451,10000000702,752085454,752085454,1618620960,752085311,752085311,1000000272,752084344,752084344,27,752082591,752082591,,,,,,,,,,,,,,,
timer_only,warm,none,2,0,1,0,0,82,137,4,4,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
page_state_probe,cache_evicted,basic,2,0,1,0,0,38420,17873,4,4,3,0,130560,63310,58642,58642,6842,56449,56449,46552,54381,54381,1305,52379,52379,61,50125,50125,,,,,,,,,,,,,,,
empty,warm,basic,2,0,10000000,0,0,7246026,3301380,4,4,0,0,0,10024838,3320273,3320273,20000674,3319648,3319648,7134710,3318733,3318733,10000272,3317253,3317253,24,3314981,3314981,,,,,,,,,,,,,,,
imul_throughput_8,warm,basic,2,0,1000000000,8,8000000000,5637269166,2568329586,4,4,0,0,18380974180624777224,8021158103,2568352333,2568352333,10000000702,2568352282,2568352282,5533257202,2568351785,2568351785,1000000272,2568350506,2568350506,28,2568348560,2568348560,,,,,,,,,,,,,,,
shift_latency,warm,basic,2,0,1000000000,1,1000000000,704191614,320828474,4,4,0,0,0,1002802413,320847018,320847018,3000000676,320846339,320846339,690382374,320845214,320845214,1000000272,320843864,320843864,29,320841710,320841710,,,,,,,,,,,,,,,
empty,warm,basic,2,0,100000,0,0,68842,31415,4,4,0,0,0,101550,49356,49356,200674,48592,48592,70290,47475,47475,100272,45906,45906,22,43631,43631,,,,,,,,,,,,,,,
add_throughput_4,warm,basic,2,0,1000000000,4,4000000000,977275388,445245217,4,4,0,0,12000000004,1349676437,445266431,445266431,6000000685,445268360,445268360,954335140,445268162,445268162,1000000272,445267194,445267194,26,445265475,445265475,,,,,,,,,,,,,,,
empty,warm,basic,2,0,1000,0,0,861,468,4,4,0,0,0,2775,20587,20587,2674,19453,19453,2552,18223,18223,1272,16465,16465,25,13998,13998,,,,,,,,,,,,,,,
add_latency,warm,basic,2,0,1000,1,1000,796,406,4,4,0,0,3001,2397,18955,18955,3674,18059,18059,2156,16857,16857,1272,15149,15149,19,12851,12851,,,,,,,,,,,,,,,
empty,warm,basic,2,0,1000000000,0,0,772965196,352161968,4,4,0,0,0,1026532752,352188024,352188024,2000000674,352188397,352188397,768076452,352187612,352187612,1000000272,352186298,352186298,46,352184050,352184050,,,,,,,,,,,,,,,
add_throughput_2,warm,basic,2,0,1000000000,2,2000000000,810106934,369083601,4,4,0,0,6000000002,1097981075,369108612,369108612,4000000681,369108328,369108328,802205888,369107562,369107562,1000000272,369106188,369106188,29,369103982,369103982,,,,,,,,,,,,,,,
page_state_probe,cache_evicted,basic,3,0,1,0,0,38201,17822,4,4,3,0,130560,57431,62433,62433,6842,60572,60572,46266,58379,58379,1305,56069,56069,58,53059,53059,,,,,,,,,,,,,,,
add_latency,warm,basic,3,0,1000,1,1000,856,438,4,4,0,0,3001,2354,20120,20120,3674,19118,19118,2156,17864,17864,1272,16168,16168,23,13727,13727,,,,,,,,,,,,,,,
add_latency,warm,basic,3,0,1000000000,1,1000000000,897864146,409065582,4,4,0,0,3000000001,1186121238,409090529,409090529,3000000674,409090433,409090433,896086136,409089897,409089897,1000000272,409088592,409088592,36,409086152,409086152,,,,,,,,,,,,,,,
xor_throughput,warm,basic,3,0,1000000000,8,8000000000,1725808489,786275556,4,4,0,0,0,2337529031,786299982,786299982,10000000703,786300587,786300587,1705976932,786300502,786300502,1000000272,786299432,786299432,26,786297651,786297651,,,,,,,,,,,,,,,
empty,warm,basic,3,0,10000000,0,0,7634664,3478699,4,4,0,0,0,10066817,3503139,3503139,20000674,3502206,3502206,7638774,3501341,3501341,10000272,3499964,3499964,22,3497856,3497856,,,,,,,,,,,,,,,
empty,warm,basic,3,0,100000,0,0,75950,34663,4,4,0,0,0,101569,55065,55065,200674,54040,54040,77484,52798,52798,100272,51072,51072,25,48485,48485,,,,,,,,,,,,,,,
imul_throughput_8,warm,basic,3,0,1000000000,8,8000000000,5680083180,2587835558,4,4,0,0,18380974180624777224,8026889215,2587859410,2587859410,10000000702,2587859232,2587859232,5547529614,2587858756,2587858756,1000000272,2587857267,2587857267,23,2587855199,2587855199,,,,,,,,,,,,,,,
add_latency,warm,basic,3,0,10000000,1,10000000,7277176,3315575,4,4,0,0,30000001,10062919,3333663,3333663,30000674,3332915,3332915,6966432,3331845,3331845,10000272,3330249,3330249,20,3328030,3328030,,,,,,,,,,,,,,,
add_latency,warm,expanded,3,0,1000000000,1,1000000000,722534440,329185704,4,4,0,0,3000000001,503617248,329239151,164225814,1796631196,329240397,197238202,487449358,329240051,230223752,699617700,329239014,230226305,257,329237246,230241725,1398311305,329234547,230250218,1396690718,329230961,230283196,133268161,329226506,132000531,133742413,329221463,131992629,134314375,329217263,131953458
shift_latency,warm,basic,3,0,1000000000,1,1000000000,708516240,322798938,4,4,0,0,0,1003549601,322821495,322821495,3000000676,322821280,322821280,691583134,322820917,322820917,1000000272,322819758,322819758,24,322817758,322817758,,,,,,,,,,,,,,,
imul_latency,warm,basic,3,0,1000000000,1,1000000000,2123945614,967665966,4,4,0,0,9215150800219179009,3010069308,967688486,967688486,3000000674,967688710,967688710,2074594808,967688282,967688282,1000000272,967687543,967687543,26,967685563,967685563,,,,,,,,,,,,,,,
page_state_probe,warm,basic,3,0,1,0,0,33604,15477,4,4,3,0,130560,49399,54788,54788,6842,50506,50506,39446,48618,48618,1305,46765,46765,60,44301,44301,,,,,,,,,,,,,,,
add_throughput_4,warm,basic,3,0,1000000000,4,4000000000,964624786,439481638,4,4,0,0,12000000004,1348878872,439504839,439504839,6000000685,439505121,439505121,942172110,439504769,439504769,1000000272,439503592,439503592,28,439501482,439501482,,,,,,,,,,,,,,,
add_latency,warm,none,3,0,1000000000,1,1000000000,707451000,322313680,4,4,0,0,3000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
add_throughput_2,warm,basic,3,0,1000000000,2,2000000000,708327576,322712859,4,4,0,0,6000000002,1006021505,322734136,322734136,4000000681,322732576,322732576,692698776,322731596,322731596,1000000272,322730093,322730093,21,322728124,322728124,,,,,,,,,,,,,,,
add_throughput_1,warm,basic,3,0,1000000000,1,1000000000,721945639,328917485,4,4,0,0,3000000001,1008229769,328940159,328940159,3000000676,328940768,328940768,706566872,328940695,328940695,1000000272,328939740,328939740,36,328952346,328952346,,,,,,,,,,,,,,,
timer_only,warm,none,3,0,1,0,0,70,132,4,4,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
add_latency,warm,basic,3,0,100000,1,100000,68838,31408,4,4,0,0,300001,101612,49503,49503,300674,48629,48629,70334,47449,47449,100272,45820,45820,21,43591,43591,,,,,,,,,,,,,,,
shift_throughput,warm,basic,3,0,1000000000,8,8000000000,3196197344,1456181802,4,4,0,0,0,4514811537,1456204801,1456204801,10000000702,1456204621,1456204621,3123490348,1456204225,1456204225,1000000272,1456203071,1456203071,28,1456201324,1456201324,,,,,,,,,,,,,,,
page_state_probe,page_cold,basic,3,0,1,0,0,2237222,1019393,4,4,1027,0,0,741918,1052799,1052799,7866,1049433,1049433,512512,1047609,1047609,2329,1045648,1045648,56,1042936,1042936,,,,,,,,,,,,,,,
empty,warm,basic,3,0,1000,0,0,758,402,4,4,0,0,0,2577,18368,18368,2674,17631,17631,2222,16482,16482,1272,14829,14829,22,12572,12572,,,,,,,,,,,,,,,
add_throughput_8,warm,basic,3,0,1000000000,8,8000000000,1663837628,758041693,4,4,0,0,24000000008,2341143468,758064128,758064128,10000000702,758064457,758064457,1625751952,758064281,758064281,1000000272,758063254,758063254,31,758061293,758061293,,,,,,,,,,,,,,,
empty,warm,basic,3,0,1000000000,0,0,707897648,322517123,4,4,0,0,0,1003385239,322539734,322539734,2000000674,322539197,322539197,691565072,322538686,322538686,1000000272,322537401,322537401,26,322535519,322535519,,,,,,,,,,,,,,,
xor_break,warm,basic,3,0,1000000000,3,3000000000,707685994,322420564,4,4,0,0,1,1003384275,322441628,322441628,5000000674,322441126,322441126,691233400,322440297,322440297,1000000272,322438949,322438949,26,322436880,322436880,,,,,,,,,,,,,,,
