variant,implementation,value_type,footprint_bytes,repetitions,median_ns_per_element,p10_ns_per_element,p90_ns_per_element,min_ns_per_element,max_ns_per_element
rust_unroll,u1,float,262144,15,1.367170000,1.367130000,1.367220000,1.367130000,1.367220000
rust_unroll,u1,float,1048576,15,1.367290000,1.367010000,1.367470000,1.366970000,1.367490000
rust_unroll,u1,float,8388608,15,1.408970000,1.404640000,1.417790000,1.402540000,1.427240000
rust_unroll,u1,float,67108864,15,1.426230000,1.425560000,1.427430000,1.425520000,1.429830000
rust_unroll,u2,double,32768,15,1.367540000,1.366980000,1.368770000,1.366830000,1.369740000
rust_unroll,u2,double,262144,15,1.366930000,1.366870000,1.367510000,1.366860000,1.367520000
rust_unroll,u2,double,1048576,15,1.367610000,1.367180000,1.368410000,1.366960000,1.368460000
rust_unroll,u2,double,8388608,15,1.470280000,1.466880000,1.482040000,1.461860000,1.497380000
rust_unroll,u2,double,67108864,15,1.497290000,1.496260000,1.498180000,1.495880000,1.498220000
rust_unroll,u2,float,32768,15,1.367950000,1.367190000,1.368490000,1.367070000,1.371060000
rust_unroll,u2,float,262144,15,1.367170000,1.366860000,1.367210000,1.366840000,1.367290000
rust_unroll,u2,float,1048576,15,1.367350000,1.367050000,1.368320000,1.366890000,1.370390000
rust_unroll,u2,float,8388608,15,1.404860000,1.403150000,1.416990000,1.402850000,1.417060000
rust_unroll,u2,float,67108864,15,1.424700000,1.423940000,1.425270000,1.423880000,1.432770000
rust_unroll,u8,double,32768,15,1.367450000,1.366890000,1.368940000,1.366880000,1.374510000
rust_unroll,u8,double,262144,15,1.366930000,1.366870000,1.367560000,1.366840000,1.367690000
rust_unroll,u8,double,1048576,15,1.367140000,1.367070000,1.367760000,1.366930000,1.367760000
rust_unroll,u8,double,8388608,15,1.434830000,1.432520000,1.443930000,1.432200000,1.445000000
rust_unroll,u8,double,67108864,15,1.465990000,1.465300000,1.466570000,1.464400000,1.466600000
rust_unroll,u8,float,32768,15,1.367260000,1.366910000,1.367970000,1.366910000,1.367980000
rust_unroll,u8,float,262144,15,1.367150000,1.366850000,1.367200000,1.366810000,1.367210000
rust_unroll,u8,float,1048576,15,1.367320000,1.366990000,1.368190000,1.366860000,1.369070000
rust_unroll,u8,float,8388608,15,1.399240000,1.394540000,1.409040000,1.393690000,1.417730000
rust_unroll,u8,float,67108864,15,1.413510000,1.412480000,1.413990000,1.412390000,1.414220000
