variant,implementation,value_type,footprint_bytes,repetitions,median_cycles_per_element,p10_cycles_per_element,p90_cycles_per_element,median_instructions_per_element,p10_instructions_per_element,p90_instructions_per_element,median_ref_cycles_per_element
go,scalar,string16,32768,15,37.025300000,37.024300000,37.124800000,94.006200000,94.006200000,94.006200000,37.025300000
go,scalar,string16,262144,15,37.008200000,37.007800000,37.038900000,94.001900000,94.001900000,94.001900000,37.008200000
go,scalar,string16,1048576,15,37.010900000,37.009400000,37.015900000,94.001500000,94.001500000,94.001500000,37.010900000
go,scalar,string16,8388608,15,37.550800000,37.465400000,37.715800000,94.004300000,94.004300000,94.004300000,37.550800000
go,scalar,string16,67108864,15,37.682000000,37.621000000,37.755600000,94.001300000,94.001300000,94.001300000,37.682000000
rust,avx2,double,32768,15,0.741335000,0.740977000,0.745096000,1.504150000,1.504150000,1.504150000,0.741335000
rust,avx2,double,262144,15,0.827949000,0.822835000,0.829653000,1.500520000,1.500520000,1.500520000,0.827949000
rust,avx2,double,1048576,15,0.834465000,0.833593000,0.835554000,1.500130000,1.500130000,1.500130000,0.834464000
rust,avx2,double,8388608,15,1.098980000,1.088390000,1.191640000,1.500020000,1.500020000,1.500020000,1.098980000
rust,avx2,double,67108864,15,1.357280000,1.354320000,1.387030000,1.500000000,1.500000000,1.500000000,1.357280000
rust,avx2,float,32768,15,0.370876000,0.370837000,0.371568000,0.753052000,0.753052000,0.753052000,0.370876000
rust,avx2,float,262144,15,0.414058000,0.411893000,0.415005000,0.750382000,0.750382000,0.750382000,0.414058000
rust,avx2,float,1048576,15,0.417160000,0.416684000,0.417993000,0.750096000,0.750096000,0.750096000,0.417160000
rust,avx2,float,8388608,15,0.546705000,0.542615000,0.607667000,0.750012000,0.750012000,0.750012000,0.546705000
rust,avx2,float,67108864,15,0.677382000,0.675858000,0.689882000,0.750002000,0.750002000,0.750002000,0.677382000
rust,avx2,int,32768,15,0.253590000,0.253390000,0.254094000,0.753296000,0.753296000,0.753296000,0.253590000
rust,avx2,int,262144,15,0.312944000,0.305625000,0.322309000,0.750413000,0.750413000,0.750413000,0.312944000
rust,avx2,int,1048576,15,0.349223000,0.348272000,0.349562000,0.750104000,0.750104000,0.750104000,0.349223000
rust,avx2,int,8388608,15,0.526686000,0.522234000,0.633450000,0.750013000,0.750013000,0.750013000,0.526686000
rust,avx2,int,67108864,15,0.673668000,0.672535000,0.677500000,0.750002000,0.750002000,0.750002000,0.673668000
rust,avx2,short,32768,15,0.127296000,0.127158000,0.127601000,0.377625000,0.377625000,0.377625000,0.127296000
rust,avx2,short,262144,15,0.157805000,0.155635000,0.162556000,0.375328000,0.375328000,0.375328000,0.157805000
rust,avx2,short,1048576,15,0.174722000,0.174257000,0.174840000,0.375082000,0.375082000,0.375082000,0.174722000
rust,avx2,short,8388608,15,0.262046000,0.259760000,0.284739000,0.375011000,0.375011000,0.375011000,0.262046000
rust,avx2,short,67108864,15,0.336468000,0.336062000,0.361592000,0.375002000,0.375002000,0.375002000,0.336468000
rust,avx2,string16,32768,15,1.039110000,1.036950000,1.044430000,4.009770000,4.009770000,4.009770000,1.039110000
rust,avx2,string16,262144,15,1.442210000,1.397750000,1.452470000,4.001220000,4.001220000,4.001220000,1.442210000
rust,avx2,string16,1048576,15,1.499630000,1.496460000,1.501400000,4.000310000,4.000310000,4.000310000,1.499630000
rust,avx2,string16,8388608,15,2.241470000,2.222470000,2.501300000,4.000040000,4.000040000,4.000040000,2.241470000
rust,avx2,string16,67108864,15,2.782520000,2.781190000,2.874090000,4.000010000,4.000010000,4.000010000,2.782520000
rust,scalar,double,32768,15,3.000870000,3.000140000,3.005250000,4.001220000,4.001220000,4.001220000,3.000870000
rust,scalar,double,262144,15,3.000280000,3.000160000,3.000900000,4.000150000,4.000150000,4.000150000,3.000280000
rust,scalar,double,1048576,15,3.001340000,3.000570000,3.001640000,4.000040000,4.000040000,4.000040000,3.001340000
