sample_id,event,value,unit,time_enabled,time_running
r01-o072-cpp-scalar-int-32768,ref-cycles,692016270,count,315309574,315309574
r01-o073-cpp_unroll-u2-double-262144,cycles,805455756,count,366994128,366994128
r01-o073-cpp_unroll-u2-double-262144,instructions,671162652,count,366994128,366994128
r01-o073-cpp_unroll-u2-double-262144,ref-cycles,805455728,count,366994128,366994128
r01-o074-cpp_native-scalar-string16-32768,cycles,1222944221,count,557226806,557226806
r01-o074-cpp_native-scalar-string16-32768,instructions,4698079505,count,557226806,557226806
r01-o074-cpp_native-scalar-string16-32768,ref-cycles,1222944184,count,557226806,557226806
r01-o075-c-scalar-string16-67108864,cycles,2096525378,count,955236842,955236842
r01-o075-c-scalar-string16-67108864,instructions,4831838848,count,955236842,955236842
r01-o075-c-scalar-string16-67108864,ref-cycles,2096525398,count,955236842,955236842
r01-o076-cpp-avx2-double-1048576,cycles,204694289,count,93293611,93293611
r01-o076-cpp-avx2-double-1048576,instructions,268478849,count,93293611,93293611
r01-o076-cpp-avx2-double-1048576,ref-cycles,204694292,count,93293611,93293611
r01-o077-rust-avx2-int-262144,cycles,173038286,count,78863721,78863721
r01-o077-rust-avx2-int-262144,instructions,402874649,count,78863721,78863721
r01-o077-rust-avx2-int-262144,ref-cycles,173038294,count,78863721,78863721
r01-o078-rust_unroll-u8-float-32768,cycles,1610819759,count,733940881,733940881
r01-o078-rust_unroll-u8-float-32768,instructions,2416509210,count,733940881,733940881
r01-o078-rust_unroll-u8-float-32768,ref-cycles,1610819782,count,733940881,733940881
r01-o079-cpp_unroll-u8-double-8388608,cycles,831216189,count,378735903,378735903
r01-o079-cpp_unroll-u8-double-8388608,instructions,369101340,count,378735903,378735903
r01-o079-cpp_unroll-u8-double-8388608,ref-cycles,831216166,count,378735903,378735903
r01-o080-rust-avx2-string16-67108864,cycles,373469082,count,170186887,170186887
r01-o080-rust-avx2-string16-67108864,instructions,536871832,count,170186887,170186887
r01-o080-rust-avx2-string16-67108864,ref-cycles,373469052,count,170186887,170186887
r01-o081-clangpp-scalar-int-262144,cycles,538779082,count,245494522,245494522
r01-o081-clangpp-scalar-int-262144,instructions,738272391,count,245494522,245494522
r01-o081-clangpp-scalar-int-262144,ref-cycles,538779076,count,245494522,245494522
r01-o082-go-scalar-short-67108864,cycles,1717538414,count,784943980,784943980
r01-o082-go-scalar-short-67108864,instructions,5368772581,count,784943980,784943980
r01-o082-go-scalar-short-67108864,ref-cycles,1717538658,count,784943980,784943980
r01-o083-cpp_native-scalar-short-32768,cycles,1369783742,count,624099315,624099315
r01-o083-cpp_native-scalar-short-32768,instructions,4295426320,count,624099315,624099315
r01-o083-cpp_native-scalar-short-32768,ref-cycles,1369783756,count,624099315,624099315
r01-o084-cpp-avx2-short-8388608,cycles,302944332,count,138053878,138053878
r01-o084-cpp-avx2-short-8388608,instructions,268446838,count,138053878,138053878
r01-o084-cpp-avx2-short-8388608,ref-cycles,302944334,count,138053878,138053878
r01-o085-rust-avx2-short-1048576,cycles,187160070,count,85297869,85297869
r01-o085-rust-avx2-short-1048576,instructions,402741528,count,85297869,85297869
r01-o085-rust-avx2-short-1048576,ref-cycles,187160072,count,85297869,85297869
r01-o086-go-scalar-int-32768,cycles,897259346,count,409797671,409797671
r01-o086-go-scalar-int-32768,instructions,2684914320,count,409797671,409797671
r01-o086-go-scalar-int-32768,ref-cycles,897260276,count,409797671,409797671
r01-o087-cpp_unroll-u1-double-32768,cycles,805677452,count,367092082,367092082
r01-o087-cpp_unroll-u1-double-32768,instructions,1074200849,count,367092082,367092082
r01-o087-cpp_unroll-u1-double-32768,ref-cycles,805677422,count,367092082,367092082
r01-o088-c-avx2-string16-262144,cycles,153020561,count,69741943,69741943
r01-o088-c-avx2-string16-262144,instructions,469950853,count,69741943,69741943
r01-o088-c-avx2-string16-262144,ref-cycles,153020560,count,69741943,69741943
r01-o089-rust_unroll-u1-double-262144,cycles,805356856,count,366970836,366970836
r01-o089-rust_unroll-u1-double-262144,instructions,1073783070,count,366970836,366970836
r01-o089-rust_unroll-u1-double-262144,ref-cycles,805356860,count,366970836,366970836
r01-o090-cpp_native-scalar-int-32768,cycles,684841886,count,312039945,312039945
r01-o090-cpp_native-scalar-int-32768,instructions,2147942672,count,312039945,312039945
r01-o090-cpp_native-scalar-int-32768,ref-cycles,684841872,count,312039945,312039945
r01-o091-cpp-scalar-string16-1048576,cycles,2018394122,count,919631723,919631723
