mode,state,perf_profile,round,repetition,iterations,target_instructions_per_iteration,dynamic_target_instructions,tsc_ticks,wall_ns,cpu_before,cpu_after,minor_faults,major_faults,checksum,cycles,cycles_enabled,cycles_running,instructions,instructions_enabled,instructions_running,ref_cycles,ref_cycles_enabled,ref_cycles_running,branches,branches_enabled,branches_running,branch_misses,branch_misses_enabled,branch_misses_running,uops_issued_any,uops_issued_any_enabled,uops_issued_any_running,uops_retired_all,uops_retired_all_enabled,uops_retired_all_running,port0_active_cycles,port0_active_cycles_enabled,port0_active_cycles_running,port1_active_cycles,port1_active_cycles_enabled,port1_active_cycles_running,port5_active_cycles,port5_active_cycles_enabled,port5_active_cycles_running
xor_throughput,warm,basic,2,0,12000000,128,1536000000,280397780,127748789,4,4,0,0,0,397432725,127768429,127768429,1560000702,127767009,127767009,273754316,127765976,127765976,12000272,127764455,127764455,81,127762155,127762155,,,,,,,,,,,,,,,
empty,warm,basic,2,0,800,0,0,614,336,4,4,0,0,0,2149,18398,18398,2274,17639,17639,1936,16505,16505,1072,14872,14872,21,12583,12583,,,,,,,,,,,,,,,
add_latency,warm,basic,2,0,80000,128,10240000,7273340,3313809,4,4,0,0,30720001,10275903,3332177,3332177,10400674,3331427,3331427,7083868,3330364,3330364,80272,3328758,3328758,27,3326516,3326516,,,,,,,,,,,,,,,
add_latency,warm,basic,2,0,800,128,102400,70416,32142,4,4,0,0,307201,103753,50045,50045,104674,49190,49190,71830,48091,48091,1072,46543,46543,23,44295,44295,,,,,,,,,,,,,,,
page_state_probe,warm,basic,2,0,1,0,0,24712,11392,4,4,3,0,130560,40680,40758,40758,6842,39659,39659,29216,38074,38074,1305,36077,36077,67,33535,33535,,,,,,,,,,,,,,,
empty,warm,basic,2,0,8,0,0,88,100,4,4,0,0,0,1609,18141,18141,690,17337,17337,1650,16201,16201,280,14637,14637,23,12426,12426,,,,,,,,,,,,,,,
add_latency,warm,basic,2,0,12000000,128,1536000000,1097449942,499996511,4,4,0,0,4608000001,1540765272,500019593,500019593,1560000674,500019321,500019321,1074185376,500018941,500018941,12000272,500017858,500017858,27,500016152,500016152,,,,,,,,,,,,,,,
add_throughput_4,warm,basic,2,0,12000000,128,1536000000,280139914,127631300,4,4,0,0,4608000004,397963775,127650601,127650601,1560000683,127649643,127649643,273981268,127648541,127648541,12000272,127647009,127647009,38,127644883,127644883,,,,,,,,,,,,,,,
imul_throughput_8,warm,basic,2,0,12000000,128,1536000000,1088035964,495707529,4,4,0,0,9257036380270100488,1541052026,495730864,495730864,1560000702,495730392,495730392,1063281868,495729644,495729644,12000272,495728435,495728435,47,495726617,495726617,,,,,,,,,,,,,,,
shift_latency,warm,basic,2,0,12000000,128,1536000000,1098448720,500451478,4,4,0,0,0,1541085897,500474462,500474462,1560000674,500474078,500474078,1073590716,500473576,500473576,12000272,500472279,500472279,58,500470242,500470242,,,,,,,,,,,,,,,
add_throughput_2,warm,basic,2,0,12000000,128,1536000000,554363754,252567237,4,4,0,0,4608000002,786010143,252588593,252588593,1560000681,252587581,252587581,541470116,252586679,252586679,12000272,252585539,252585539,30,252583522,252583522,,,,,,,,,,,,,,,
and_zero_control,warm,basic,2,0,12000000,384,4608000000,5454523132,2485070852,4,4,0,0,1,7706292555,2485093144,2485093144,4632000674,2485093485,2485093485,5324424754,2485093263,2485093263,12000272,2485092130,2485092130,62,2485090321,2485090321,,,,,,,,,,,,,,,
imul_latency,warm,basic,2,0,12000000,128,1536000000,3270277652,1489932733,4,4,0,0,5482421456486662145,4622740043,1489965997,1489965997,1560000674,1489965836,1489965836,3197739974,1489965528,1489965528,12000272,1489964492,1489964492,80,1489962748,1489962748,,,,,,,,,,,,,,,
add_throughput_1,warm,basic,2,0,12000000,128,1536000000,1085134008,494385224,4,4,0,0,4608000001,1540881041,494407426,494407426,1560000676,494405308,494405308,1061130862,494404421,494404421,12000272,494403132,494403132,28,494401088,494401088,,,,,,,,,,,,,,,
shift_throughput,warm,basic,2,0,12000000,128,1536000000,548754844,250011954,4,4,0,0,0,776683345,250034314,250034314,1560000702,250034645,250034645,535805468,250034103,250034103,12000272,250032910,250032910,26,250031141,250031141,,,,,,,,,,,,,,,
timer_only,warm,none,2,0,1,0,0,50,112,4,4,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
empty,warm,basic,2,0,12000000,0,0,8541068,3891412,4,4,0,0,0,12047578,3909454,3909454,24000674,3908704,3908704,8313360,3907690,3907690,12000272,3906070,3906070,23,3903817,3903817,,,,,,,,,,,,,,,
page_state_probe,page_cold,basic,2,0,1,0,0,2223114,1012978,4,4,1027,0,0,739100,1043002,1043002,7866,1041312,1041312,510246,1039625,1039625,2329,1037791,1037791,50,1035202,1035202,,,,,,,,,,,,,,,
page_state_probe,cache_evicted,basic,2,0,1,0,0,36414,16795,4,4,3,0,130560,62182,56841,56841,6842,54576,54576,44616,52947,52947,1305,50933,50933,61,48374,48374,,,,,,,,,,,,,,,
add_throughput_8,warm,basic,2,0,12000000,128,1536000000,279407342,127297548,4,4,0,0,4608000008,397247068,127316527,127316527,1560000703,127315634,127315634,273494650,127314546,127314546,12000272,127312924,127312924,23,127310729,127310729,,,,,,,,,,,,,,,
add_latency,warm,basic,3,0,800,128,102400,70408,32142,4,4,0,0,307201,103697,50027,50027,104674,49322,49322,71808,48251,48251,1072,46685,46685,26,44412,44412,,,,,,,,,,,,,,,
add_latency,warm,none,3,0,12000000,128,1536000000,1088470964,495905662,4,4,0,0,4608000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
empty,warm,basic,3,0,12000000,0,0,8589545,3913473,4,4,0,0,0,12055580,3931757,3931757,24000674,3931167,3931167,8315890,3930279,3930279,12000272,3938306,3938306,27,3936182,3936182,,,,,,,,,,,,,,,
empty,warm,basic,3,0,80000,0,0,55090,25157,4,4,0,0,0,81317,42914,42914,160674,42151,42151,56364,41076,41076,80272,39496,39496,23,37256,37256,,,,,,,,,,,,,,,
add_latency,warm,basic,3,0,80000,128,10240000,7252366,3304249,4,4,0,0,30720001,10276022,3322490,3322490,10400674,3321765,3321765,7083274,3320647,3320647,80272,3319112,3319112,25,3316843,3316843,,,,,,,,,,,,,,,
add_throughput_2,warm,basic,3,0,12000000,128,1536000000,553043264,251965688,4,4,0,0,4608000002,785820648,251986126,251986126,1560000681,251985199,251985199,541019798,251984219,251984219,12000272,251982658,251982658,28,251980313,251980313,,,,,,,,,,,,,,,
and_zero_control,warm,basic,3,0,12000000,384,4608000000,5450888062,2483414709,4,4,0,0,1,7703928175,2483438035,2483438035,4632000674,2483437400,2483437400,5334112630,2483436956,2483436956,12000272,2483435809,2483435809,73,2483433971,2483433971,,,,,,,,,,,,,,,
page_state_probe,cache_evicted,basic,3,0,1,0,0,36728,17078,4,4,3,0,130560,60485,57132,57132,6842,54358,54358,42966,52397,52397,1305,50366,50366,60,47910,47910,,,,,,,,,,,,,,,
page_state_probe,page_cold,basic,3,0,1,0,0,2231502,1016799,4,4,1027,0,0,739095,1047992,1047992,7866,1046369,1046369,511258,1044636,1044636,2329,1042722,1042722,50,1040036,1040036,,,,,,,,,,,,,,,
