round,sample_id,compiler,footprint_bytes,passes,target_operations,shuffle_key
2,r02-o27-clang18_scalar-8388608,clang18_scalar,8388608,62,8000000,1786622451
2,r02-o28-gcc13_auto-6291456,gcc13_auto,6291456,102,10000000,1914620383
3,r03-o01-clang18_scalar-36864,clang18_scalar,36864,173612,100000000,0042788437
3,r03-o02-gcc13_auto-536870912,gcc13_auto,536870912,1,4000000,0061055796
3,r03-o03-gcc13_auto-262144,gcc13_auto,262144,9766,40000000,0144762296
3,r03-o04-gcc13_auto-6291456,gcc13_auto,6291456,102,10000000,0217286104
3,r03-o05-clang18_scalar-6291456,clang18_scalar,6291456,102,10000000,0307394236
3,r03-o06-gcc13_auto-36864,gcc13_auto,36864,173612,100000000,0570248973
3,r03-o07-clang18_scalar-8388608,clang18_scalar,8388608,62,8000000,0699107283
3,r03-o08-clang18_scalar-536870912,clang18_scalar,536870912,1,4000000,0876765032
3,r03-o09-gcc13_scalar-32768,gcc13_scalar,32768,195313,100000000,1043014102
3,r03-o10-gcc13_scalar-536870912,gcc13_scalar,536870912,1,4000000,1046983514
3,r03-o11-clang18_auto-8388608,clang18_auto,8388608,62,8000000,1049628735
3,r03-o12-gcc13_scalar-36864,gcc13_scalar,36864,173612,100000000,1056069629
3,r03-o13-clang18_auto-262144,clang18_auto,262144,9766,40000000,1229465700
3,r03-o14-clang18_scalar-32768,clang18_scalar,32768,195313,100000000,1254680167
3,r03-o15-clang18_auto-6291456,clang18_auto,6291456,102,10000000,1262648833
3,r03-o16-gcc13_scalar-262144,gcc13_scalar,262144,9766,40000000,1273740943
3,r03-o17-gcc13_auto-1048576,gcc13_auto,1048576,1221,20000000,1307630887
3,r03-o18-clang18_auto-32768,clang18_auto,32768,195313,100000000,1332528563
3,r03-o19-gcc13_auto-8388608,gcc13_auto,8388608,62,8000000,1456331468
3,r03-o20-gcc13_scalar-6291456,gcc13_scalar,6291456,102,10000000,1483859602
3,r03-o21-gcc13_scalar-8388608,gcc13_scalar,8388608,62,8000000,1588432236
3,r03-o22-clang18_auto-36864,clang18_auto,36864,173612,100000000,1708857660
3,r03-o23-gcc13_auto-32768,gcc13_auto,32768,195313,100000000,1727097374
3,r03-o24-clang18_scalar-1048576,clang18_scalar,1048576,1221,20000000,1811193753
3,r03-o25-gcc13_scalar-1048576,gcc13_scalar,1048576,1221,20000000,1828219855
3,r03-o26-clang18_auto-536870912,clang18_auto,536870912,1,4000000,1864628243
3,r03-o27-clang18_auto-1048576,clang18_auto,1048576,1221,20000000,1926898046
3,r03-o28-clang18_scalar-262144,clang18_scalar,262144,9766,40000000,2056486525
4,r04-o01-clang18_auto-536870912,clang18_auto,536870912,1,4000000,0052225384
4,r04-o02-clang18_auto-1048576,clang18_auto,1048576,1221,20000000,0088517153
4,r04-o03-gcc13_auto-32768,gcc13_auto,32768,195313,100000000,0359937018
4,r04-o04-clang18_auto-32768,clang18_auto,32768,195313,100000000,0382131370
4,r04-o05-gcc13_scalar-1048576,gcc13_scalar,1048576,1221,20000000,0397221299
4,r04-o06-clang18_scalar-262144,clang18_scalar,262144,9766,40000000,0442373771
4,r04-o07-gcc13_scalar-536870912,gcc13_scalar,536870912,1,4000000,0583702588
4,r04-o08-gcc13_auto-36864,gcc13_auto,36864,173612,100000000,0613442578
4,r04-o09-gcc13_auto-6291456,gcc13_auto,6291456,102,10000000,0667435472
4,r04-o10-gcc13_auto-262144,gcc13_auto,262144,9766,40000000,0822371146
4,r04-o11-clang18_auto-8388608,clang18_auto,8388608,62,8000000,0842705122
4,r04-o12-gcc13_auto-536870912,gcc13_auto,536870912,1,4000000,0922176708
4,r04-o13-gcc13_scalar-262144,gcc13_scalar,262144,9766,40000000,1058566184
4,r04-o14-gcc13_scalar-36864,gcc13_scalar,36864,173612,100000000,1126317187
4,r04-o15-gcc13_auto-8388608,gcc13_auto,8388608,62,8000000,1192450193
4,r04-o16-clang18_scalar-6291456,clang18_scalar,6291456,102,10000000,1227996618
4,r04-o17-clang18_scalar-536870912,clang18_scalar,536870912,1,4000000,1350836852
4,r04-o18-clang18_scalar-32768,clang18_scalar,32768,195313,100000000,1377091648
4,r04-o19-clang18_auto-262144,clang18_auto,262144,9766,40000000,1394397820
4,r04-o20-gcc13_scalar-6291456,gcc13_scalar,6291456,102,10000000,1466518580
4,r04-o21-gcc13_auto-1048576,gcc13_auto,1048576,1221,20000000,1535323613
4,r04-o22-clang18_auto-36864,clang18_auto,36864,173612,100000000,1752851904
4,r04-o23-clang18_scalar-8388608,clang18_scalar,8388608,62,8000000,1759075762
4,r04-o24-clang18_auto-6291456,clang18_auto,6291456,102,10000000,1781122984
4,r04-o25-gcc13_scalar-32768,gcc13_scalar,32768,195313,100000000,1803420367
4,r04-o26-clang18_scalar-1048576,clang18_scalar,1048576,1221,20000000,1945465153
4,r04-o27-clang18_scalar-36864,clang18_scalar,36864,173612,100000000,1982157802
4,r04-o28-gcc13_scalar-8388608,gcc13_scalar,8388608,62,8000000,2079753019
5,r05-o01-clang18_scalar-6291456,clang18_scalar,6291456,102,10000000,0001115353
5,r05-o02-gcc13_scalar-536870912,gcc13_scalar,536870912,1,4000000,0120421662
5,r05-o03-clang18_auto-6291456,clang18_auto,6291456,102,10000000,0152113488
5,r05-o04-clang18_auto-536870912,clang18_auto,536870912,1,4000000,0387306172
5,r05-o05-clang18_auto-1048576,clang18_auto,1048576,1221,20000000,0397619907
5,r05-o06-gcc13_scalar-32768,gcc13_scalar,32768,195313,100000000,0416342985
